"region","utländsk/svensk bakgrund","ålder","år","Antal personer"
"1286 Ystad","utländsk bakgrund","18-67","2024",3007
"1287 Trelleborg","utländsk bakgrund","18-67","2014",5972
"1287 Trelleborg","utländsk bakgrund","18-67","2024",8177
"1290 Kristianstad","utländsk bakgrund","18-67","2014",11293
"1290 Kristianstad","utländsk bakgrund","18-67","2024",15819
"1291 Simrishamn","utländsk bakgrund","18-67","2014",1455
"1291 Simrishamn","utländsk bakgrund","18-67","2024",1895
"1292 Ängelholm","utländsk bakgrund","18-67","2014",3629
"1292 Ängelholm","utländsk bakgrund","18-67","2024",5459
"1293 Hässleholm","utländsk bakgrund","18-67","2014",5805
"1293 Hässleholm","utländsk bakgrund","18-67","2024",8190
"1315 Hylte","utländsk bakgrund","18-67","2014",1727
"1315 Hylte","utländsk bakgrund","18-67","2024",2031
"1380 Halmstad","utländsk bakgrund","18-67","2014",14184
"1380 Halmstad","utländsk bakgrund","18-67","2024",20347
"1381 Laholm","utländsk bakgrund","18-67","2014",2160
"1381 Laholm","utländsk bakgrund","18-67","2024",3391
"1382 Falkenberg","utländsk bakgrund","18-67","2014",4465
"1382 Falkenberg","utländsk bakgrund","18-67","2024",6454
"1383 Varberg","utländsk bakgrund","18-67","2014",5111
"1383 Varberg","utländsk bakgrund","18-67","2024",7284
"1384 Kungsbacka","utländsk bakgrund","18-67","2014",4675
"1384 Kungsbacka","utländsk bakgrund","18-67","2024",6978
"1401 Härryda","utländsk bakgrund","18-67","2014",3528
"1401 Härryda","utländsk bakgrund","18-67","2024",5136
"1402 Partille","utländsk bakgrund","18-67","2014",5423
"1402 Partille","utländsk bakgrund","18-67","2024",8635
"1407 Öckerö","utländsk bakgrund","18-67","2014",468
"1407 Öckerö","utländsk bakgrund","18-67","2024",658
"1415 Stenungsund","utländsk bakgrund","18-67","2014",1987
"1415 Stenungsund","utländsk bakgrund","18-67","2024",2890
"1419 Tjörn","utländsk bakgrund","18-67","2014",897
"1419 Tjörn","utländsk bakgrund","18-67","2024",1235
"1421 Orust","utländsk bakgrund","18-67","2014",833
"1421 Orust","utländsk bakgrund","18-67","2024",1154
"1427 Sotenäs","utländsk bakgrund","18-67","2014",561
"1427 Sotenäs","utländsk bakgrund","18-67","2024",798
"1430 Munkedal","utländsk bakgrund","18-67","2014",801
"1430 Munkedal","utländsk bakgrund","18-67","2024",1017
"1435 Tanum","utländsk bakgrund","18-67","2014",960
"1435 Tanum","utländsk bakgrund","18-67","2024",1211
"1438 Dals-Ed","utländsk bakgrund","18-67","2014",539
"1438 Dals-Ed","utländsk bakgrund","18-67","2024",500
"1439 Färgelanda","utländsk bakgrund","18-67","2014",461
"1439 Färgelanda","utländsk bakgrund","18-67","2024",561
"1440 Ale","utländsk bakgrund","18-67","2014",3874
"1440 Ale","utländsk bakgrund","18-67","2024",6064
"1441 Lerum","utländsk bakgrund","18-67","2014",3369
"1441 Lerum","utländsk bakgrund","18-67","2024",4678
"1442 Vårgårda","utländsk bakgrund","18-67","2014",928
"1442 Vårgårda","utländsk bakgrund","18-67","2024",1625
"1443 Bollebygd","utländsk bakgrund","18-67","2014",632
"1443 Bollebygd","utländsk bakgrund","18-67","2024",1004
"1444 Grästorp","utländsk bakgrund","18-67","2014",319
"1444 Grästorp","utländsk bakgrund","18-67","2024",398
"1445 Essunga","utländsk bakgrund","18-67","2014",324
"1445 Essunga","utländsk bakgrund","18-67","2024",422
"1446 Karlsborg","utländsk bakgrund","18-67","2014",336
"1446 Karlsborg","utländsk bakgrund","18-67","2024",471
"1447 Gullspång","utländsk bakgrund","18-67","2014",543
"1447 Gullspång","utländsk bakgrund","18-67","2024",643
"1452 Tranemo","utländsk bakgrund","18-67","2014",1366
"1452 Tranemo","utländsk bakgrund","18-67","2024",1830
"1460 Bengtsfors","utländsk bakgrund","18-67","2014",1061
"1460 Bengtsfors","utländsk bakgrund","18-67","2024",1300
"1461 Mellerud","utländsk bakgrund","18-67","2014",871
