"region","utländsk/svensk bakgrund","ålder","år","Antal personer"
"1060 Olofström","svensk bakgrund","18-67","2014",5536
"1060 Olofström","svensk bakgrund","18-67","2024",5009
"1080 Karlskrona","svensk bakgrund","18-67","2014",33977
"1080 Karlskrona","svensk bakgrund","18-67","2024",32536
"1081 Ronneby","svensk bakgrund","18-67","2014",14202
"1081 Ronneby","svensk bakgrund","18-67","2024",12488
"1082 Karlshamn","svensk bakgrund","18-67","2014",16405
"1082 Karlshamn","svensk bakgrund","18-67","2024",14680
"1083 Sölvesborg","svensk bakgrund","18-67","2014",8707
"1083 Sölvesborg","svensk bakgrund","18-67","2024",8381
"1214 Svalöv","svensk bakgrund","18-67","2014",6825
"1214 Svalöv","svensk bakgrund","18-67","2024",6527
"1230 Staffanstorp","svensk bakgrund","18-67","2014",11213
"1230 Staffanstorp","svensk bakgrund","18-67","2024",11709
"1231 Burlöv","svensk bakgrund","18-67","2014",6077
"1231 Burlöv","svensk bakgrund","18-67","2024",5554
"1233 Vellinge","svensk bakgrund","18-67","2014",17780
"1233 Vellinge","svensk bakgrund","18-67","2024",18134
"1256 Östra Göinge","svensk bakgrund","18-67","2014",7139
"1256 Östra Göinge","svensk bakgrund","18-67","2024",6234
"1257 Örkelljunga","svensk bakgrund","18-67","2014",4779
"1257 Örkelljunga","svensk bakgrund","18-67","2024",4569
"1260 Bjuv","svensk bakgrund","18-67","2014",6655
"1260 Bjuv","svensk bakgrund","18-67","2024",5980
"1261 Kävlinge","svensk bakgrund","18-67","2014",15718
"1261 Kävlinge","svensk bakgrund","18-67","2024",15858
"1262 Lomma","svensk bakgrund","18-67","2014",11517
"1262 Lomma","svensk bakgrund","18-67","2024",11575
"1263 Svedala","svensk bakgrund","18-67","2014",10761
"1263 Svedala","svensk bakgrund","18-67","2024",10759
"1264 Skurup","svensk bakgrund","18-67","2014",7973
"1264 Skurup","svensk bakgrund","18-67","2024",8115
"1265 Sjöbo","svensk bakgrund","18-67","2014",10137
"1265 Sjöbo","svensk bakgrund","18-67","2024",9727
"1266 Hörby","svensk bakgrund","18-67","2014",7984
"1266 Hörby","svensk bakgrund","18-67","2024",7482
"1267 Höör","svensk bakgrund","18-67","2014",8339
"1267 Höör","svensk bakgrund","18-67","2024",8568
"1270 Tomelilla","svensk bakgrund","18-67","2014",6811
"1270 Tomelilla","svensk bakgrund","18-67","2024",6259
"1272 Bromölla","svensk bakgrund","18-67","2014",6243
"1272 Bromölla","svensk bakgrund","18-67","2024",5490
"1273 Osby","svensk bakgrund","18-67","2014",6365
"1273 Osby","svensk bakgrund","18-67","2024",5469
"1275 Perstorp","svensk bakgrund","18-67","2014",3234
"1275 Perstorp","svensk bakgrund","18-67","2024",2701
"1276 Klippan","svensk bakgrund","18-67","2014",8328
"1276 Klippan","svensk bakgrund","18-67","2024",7829
"1277 Åstorp","svensk bakgrund","18-67","2014",6517
"1277 Åstorp","svensk bakgrund","18-67","2024",5742
"1278 Båstad","svensk bakgrund","18-67","2014",7196
"1278 Båstad","svensk bakgrund","18-67","2024",6949
"1280 Malmö","svensk bakgrund","18-67","2014",117297
"1280 Malmö","svensk bakgrund","18-67","2024",114209
"1281 Lund","svensk bakgrund","18-67","2014",58402
"1281 Lund","svensk bakgrund","18-67","2024",58906
"1282 Landskrona","svensk bakgrund","18-67","2014",17428
"1282 Landskrona","svensk bakgrund","18-67","2024",16533
"1283 Helsingborg","svensk bakgrund","18-67","2014",59731
"1283 Helsingborg","svensk bakgrund","18-67","2024",54394
"1284 Höganäs","svensk bakgrund","18-67","2014",12447
"1284 Höganäs","svensk bakgrund","18-67","2024",12456
"1285 Eslöv","svensk bakgrund","18-67","2014",15676
"1285 Eslöv","svensk bakgrund","18-67","2024",14567
"1286 Ystad","svensk bakgrund","18-67","2014",15496
"1286 Ystad","svensk bakgrund","18-67","2024",15275
"1287 Trelleborg","svensk bakgrund","18-67","2014",20770
"1287 Trelleborg","svensk bakgrund","18-67","2024",20453
"1290 Kristianstad","svensk bakgrund","18-67","2014",39629
"1290 Kristianstad","svensk bakgrund","18-67","2024",35930
"1291 Simrishamn","svensk bakgrund","18-67","2014",9664
"1291 Simrishamn","svensk bakgrund","18-67","2024",8143
"1292 Ängelholm","svensk bakgrund","18-67","2014",21222
"1292 Ängelholm","svensk bakgrund","18-67","2024",21027
"1293 Hässleholm","svensk bakgrund","18-67","2014",25357
"1293 Hässleholm","svensk bakgrund","18-67","2024",22762
"1315 Hylte","svensk bakgrund","18-67","2014",4553
"1315 Hylte","svensk bakgrund","18-67","2024",3922
"1380 Halmstad","svensk bakgrund","18-67","2014",46545
"1380 Halmstad","svensk bakgrund","18-67","2024",44825
"1381 Laholm","svensk bakgrund","18-67","2014",12368
"1381 Laholm","svensk bakgrund","18-67","2024",11742
"1382 Falkenberg","svensk bakgrund","18-67","2014",21480
"1382 Falkenberg","svensk bakgrund","18-67","2024",20873
"1383 Varberg","svensk bakgrund","18-67","2014",32241
"1383 Varberg","svensk bakgrund","18-67","2024",32958
"1384 Kungsbacka","svensk bakgrund","18-67","2014",42386
"1384 Kungsbacka","svensk bakgrund","18-67","2024",43693
"1401 Härryda","svensk bakgrund","18-67","2014",18857
"1401 Härryda","svensk bakgrund","18-67","2024",19113
"1402 Partille","svensk bakgrund","18-67","2014",17439
"1402 Partille","svensk bakgrund","18-67","2024",16647
"1407 Öckerö","svensk bakgrund","18-67","2014",7157
"1407 Öckerö","svensk bakgrund","18-67","2024",6625
"1415 Stenungsund","svensk bakgrund","18-67","2014",13571
"1415 Stenungsund","svensk bakgrund","18-67","2024",13889
"1419 Tjörn","svensk bakgrund","18-67","2014",8481
"1419 Tjörn","svensk bakgrund","18-67","2024",7694
"1421 Orust","svensk bakgrund","18-67","2014",8285
"1421 Orust","svensk bakgrund","18-67","2024",7322
"1427 Sotenäs","svensk bakgrund","18-67","2014",4835
"1427 Sotenäs","svensk bakgrund","18-67","2024",4178
"1430 Munkedal","svensk bakgrund","18-67","2014",5398
"1430 Munkedal","svensk bakgrund","18-67","2024",4960
"1435 Tanum","svensk bakgrund","18-67","2014",6563
"1435 Tanum","svensk bakgrund","18-67","2024",5908
"1438 Dals-Ed","svensk bakgrund","18-67","2014",2342
"1438 Dals-Ed","svensk bakgrund","18-67","2024",2104
"1439 Färgelanda","svensk bakgrund","18-67","2014",3514
"1439 Färgelanda","svensk bakgrund","18-67","2024",3120
"1440 Ale","svensk bakgrund","18-67","2014",13888
"1440 Ale","svensk bakgrund","18-67","2024",13754
"1441 Lerum","svensk bakgrund","18-67","2014",20593
"1441 Lerum","svensk bakgrund","18-67","2024",20958
"1442 Vårgårda","svensk bakgrund","18-67","2014",5981
"1442 Vårgårda","svensk bakgrund","18-67","2024",5779
"1443 Bollebygd","svensk bakgrund","18-67","2014",4691
"1443 Bollebygd","svensk bakgrund","18-67","2024",4746
"1444 Grästorp","svensk bakgrund","18-67","2014",3175
"1444 Grästorp","svensk bakgrund","18-67","2024",2850
"1445 Essunga","svensk bakgrund","18-67","2014",3063
"1445 Essunga","svensk bakgrund","18-67","2024",2684
"1446 Karlsborg","svensk bakgrund","18-67","2014",3751
"1446 Karlsborg","svensk bakgrund","18-67","2024",3467
"1447 Gullspång","svensk bakgrund","18-67","2014",2582
"1447 Gullspång","svensk bakgrund","18-67","2024",2080
"1452 Tranemo","svensk bakgrund","18-67","2014",5695
"1452 Tranemo","svensk bakgrund","18-67","2024",4962
"1460 Bengtsfors","svensk bakgrund","18-67","2014",4715
"1460 Bengtsfors","svensk bakgrund","18-67","2024",3786
"1461 Mellerud","svensk bakgrund","18-67","2014",4450
"1461 Mellerud","svensk bakgrund","18-67","2024",3853
"1462 Lilla Edet","svensk bakgrund","18-67","2014",6642
"1462 Lilla Edet","svensk bakgrund","18-67","2024",6211
"1463 Mark","svensk bakgrund","18-67","2014",17439
"1463 Mark","svensk bakgrund","18-67","2024",16372
"1465 Svenljunga","svensk bakgrund","18-67","2014",5207
"1465 Svenljunga","svensk bakgrund","18-67","2024",4750
"1466 Herrljunga","svensk bakgrund","18-67","2014",4938
"1466 Herrljunga","svensk bakgrund","18-67","2024",4462
"1470 Vara","svensk bakgrund","18-67","2014",8538
"1470 Vara","svensk bakgrund","18-67","2024",7846
"1471 Götene","svensk bakgrund","18-67","2014",6979
"1471 Götene","svensk bakgrund","18-67","2024",6310
"1472 Tibro","svensk bakgrund","18-67","2014",5432
"1472 Tibro","svensk bakgrund","18-67","2024",5039
"1473 Töreboda","svensk bakgrund","18-67","2014",4881
"1473 Töreboda","svensk bakgrund","18-67","2024",4247
"1480 Göteborg","svensk bakgrund","18-67","2014",243047
"1480 Göteborg","svensk bakgrund","18-67","2024",234135
"1481 Mölndal","svensk bakgrund","18-67","2014",31595
"1481 Mölndal","svensk bakgrund","18-67","2024",32399
"1482 Kungälv","svensk bakgrund","18-67","2014",22802
"1482 Kungälv","svensk bakgrund","18-67","2024",24908
"1484 Lysekil","svensk bakgrund","18-67","2014",7369
"1484 Lysekil","svensk bakgrund","18-67","2024",6045
"1485 Uddevalla","svensk bakgrund","18-67","2014",27017
"1485 Uddevalla","svensk bakgrund","18-67","2024",24983
"1486 Strömstad","svensk bakgrund","18-67","2014",5564
"1486 Strömstad","svensk bakgrund","18-67","2024",4850
"1487 Vänersborg","svensk bakgrund","18-67","2014",19353
"1487 Vänersborg","svensk bakgrund","18-67","2024",18028
"1488 Trollhättan","svensk bakgrund","18-67","2014",26170
"1488 Trollhättan","svensk bakgrund","18-67","2024",23889
"1489 Alingsås","svensk bakgrund","18-67","2014",20630
"1489 Alingsås","svensk bakgrund","18-67","2024",20132
"1490 Borås","svensk bakgrund","18-67","2014",48152
"1490 Borås","svensk bakgrund","18-67","2024",44542
"1491 Ulricehamn","svensk bakgrund","18-67","2014",12058
"1491 Ulricehamn","svensk bakgrund","18-67","2024",11597
"1492 Åmål","svensk bakgrund","18-67","2014",6254
"1492 Åmål","svensk bakgrund","18-67","2024",5300
"1493 Mariestad","svensk bakgrund","18-67","2014",12469
"1493 Mariestad","svensk bakgrund","18-67","2024",11786
"1494 Lidköping","svensk bakgrund","18-67","2014",21228
"1494 Lidköping","svensk bakgrund","18-67","2024",19882
"1495 Skara","svensk bakgrund","18-67","2014",9836
"1495 Skara","svensk bakgrund","18-67","2024",8403
"1496 Skövde","svensk bakgrund","18-67","2014",28091
"1496 Skövde","svensk bakgrund","18-67","2024",27086
"1497 Hjo","svensk bakgrund","18-67","2014",4878
"1497 Hjo","svensk bakgrund","18-67","2024",4589
"1498 Tidaholm","svensk bakgrund","18-67","2014",6839
"1498 Tidaholm","svensk bakgrund","18-67","2024",6295
"1499 Falköping","svensk bakgrund","18-67","2014",16544
"1499 Falköping","svensk bakgrund","18-67","2024",15029
"1715 Kil","svensk bakgrund","18-67","2014",6596
"1715 Kil","svensk bakgrund","18-67","2024",6084
"1730 Eda","svensk bakgrund","18-67","2014",3708
"1730 Eda","svensk bakgrund","18-67","2024",3231
"1737 Torsby","svensk bakgrund","18-67","2014",6280
"1737 Torsby","svensk bakgrund","18-67","2024",5189
"1760 Storfors","svensk bakgrund","18-67","2014",1916
"1760 Storfors","svensk bakgrund","18-67","2024",1667
"1761 Hammarö","svensk bakgrund","18-67","2014",8535
"1761 Hammarö","svensk bakgrund","18-67","2024",8573
"1762 Munkfors","svensk bakgrund","18-67","2014",1909
"1762 Munkfors","svensk bakgrund","18-67","2024",1669
"1763 Forshaga","svensk bakgrund","18-67","2014",6200
"1763 Forshaga","svensk bakgrund","18-67","2024",5761
"1764 Grums","svensk bakgrund","18-67","2014",4873
"1764 Grums","svensk bakgrund","18-67","2024",4333
"1765 Årjäng","svensk bakgrund","18-67","2014",4585
"1765 Årjäng","svensk bakgrund","18-67","2024",4120
"1766 Sunne","svensk bakgrund","18-67","2014",7368
"1766 Sunne","svensk bakgrund","18-67","2024",6643
"1780 Karlstad","svensk bakgrund","18-67","2014",48838
"1780 Karlstad","svensk bakgrund","18-67","2024",48819
"1781 Kristinehamn","svensk bakgrund","18-67","2014",12601
"1781 Kristinehamn","svensk bakgrund","18-67","2024",11061
"1782 Filipstad","svensk bakgrund","18-67","2014",5227
"1782 Filipstad","svensk bakgrund","18-67","2024",4183
"1783 Hagfors","svensk bakgrund","18-67","2014",6230
"1783 Hagfors","svensk bakgrund","18-67","2024",5048
"1784 Arvika","svensk bakgrund","18-67","2014",13603
"1784 Arvika","svensk bakgrund","18-67","2024",12004
"1785 Säffle","svensk bakgrund","18-67","2014",7942
"1785 Säffle","svensk bakgrund","18-67","2024",6845
"1814 Lekeberg","svensk bakgrund","18-67","2014",4204
"1814 Lekeberg","svensk bakgrund","18-67","2024",4392
"1860 Laxå","svensk bakgrund","18-67","2014",2741
"1860 Laxå","svensk bakgrund","18-67","2024",2293
"1861 Hallsberg","svensk bakgrund","18-67","2014",8096
"1861 Hallsberg","svensk bakgrund","18-67","2024",7148
"1862 Degerfors","svensk bakgrund","18-67","2014",4836
"1862 Degerfors","svensk bakgrund","18-67","2024",4107
"1863 Hällefors","svensk bakgrund","18-67","2014",3248
"1863 Hällefors","svensk bakgrund","18-67","2024",2633
"1864 Ljusnarsberg","svensk bakgrund","18-67","2014",2314
"1864 Ljusnarsberg","svensk bakgrund","18-67","2024",1873
"1880 Örebro","svensk bakgrund","18-67","2014",70282
"1880 Örebro","svensk bakgrund","18-67","2024",69538
"1881 Kumla","svensk bakgrund","18-67","2014",10854
"1881 Kumla","svensk bakgrund","18-67","2024",10380
"1882 Askersund","svensk bakgrund","18-67","2014",6078
"1882 Askersund","svensk bakgrund","18-67","2024",5577
"1883 Karlskoga","svensk bakgrund","18-67","2014",14592
"1883 Karlskoga","svensk bakgrund","18-67","2024",13480
"1884 Nora","svensk bakgrund","18-67","2014",5250
"1884 Nora","svensk bakgrund","18-67","2024",4773
"1885 Lindesberg","svensk bakgrund","18-67","2014",11699
"1885 Lindesberg","svensk bakgrund","18-67","2024",10314
"1904 Skinnskatteberg","svensk bakgrund","18-67","2014",2014
"1904 Skinnskatteberg","svensk bakgrund","18-67","2024",1806
"1907 Surahammar","svensk bakgrund","18-67","2014",4277
"1907 Surahammar","svensk bakgrund","18-67","2024",4030
"1960 Kungsör","svensk bakgrund","18-67","2014",3963
"1960 Kungsör","svensk bakgrund","18-67","2024",3666
"1961 Hallstahammar","svensk bakgrund","18-67","2014",7036
