" "," "," ","2008Q3","2009Q3","2010Q3","2011Q3","2012Q3","2013Q3","2014Q3","2015Q3","2016Q3","2017Q3","2018Q3","2019Q3","2020Q3","2021Q3","2022Q3","2023Q3","2024Q3","2025Q3"
"Total"
" ","Age, total"
" "," ","Aabenraa",60427,60230,60025,59795,59430,59197,59048,59011,59077,59172,59055,58914,58735,58518,59053,58788,58660,58461
" "," ","Favrskov",45983,46405,46685,47064,47225,47074,47299,47657,47767,48055,48406,48373,48393,48630,49222,49385,49335,49526
" "," ","Hedensted",45802,46032,46011,46119,45886,45897,45936,46304,46365,46657,46667,46726,46731,47005,47621,47688,47876,48430
" "," ","Horsens",80599,81479,82215,83051,84133,85132,86083,86770,88353,89205,89927,90961,91469,93093,95675,96855,97517,98117
" "," ","Norddjurs",38507,38294,38081,37929,38021,38037,37867,38007,38039,38068,37906,37463,36994,36977,37083,36926,36694,36553
" "," ","Odder",21619,21643,21837,21763,21808,21851,21825,21997,22209,22549,22639,22783,22888,23091,23578,23806,23971,24128
" "," ","Randers",93873,94553,94936,95538,95943,96095,96502,97032,97840,98251,98071,98009,98122,98549,99794,99834,100248,100341
" "," ","Sams�",4068,4055,3968,3905,3874,3804,3768,3709,3753,3732,3705,3689,3651,3697,3768,3773,3679,3659
" "," ","Silkeborg",87806,88337,88694,89241,89334,89637,89950,90372,91080,91602,92513,93636,94648,96409,98825,100093,101264,102258
" "," ","Skanderborg",56308,56997,57537,57985,58071,58200,58444,59059,59983,60748,61548,62286,63070,63791,65019,65265,65376,66057
" "," ","Syddjurs",41318,41353,41599,41750,41894,41726,41714,41887,41877,42165,42636,42900,43107,43441,44086,44197,44033,44311
" "," ","Aarhus",298501,303107,306799,310801,314887,319680,323477,326612,331505,336411,341497,345635,349433,352315,356829,362442,368131,373559
" "," ","Herning",84627,85283,85684,85941,86464,86688,86929,87223,88118,88660,88839,89128,89411,89332,89928,89996,90005,90116
" "," ","Holstebro",57199,57241,57215,57290,57299,57393,57526,57680,57949,58399,58546,58543,58685,58618,58955,59055,59064,59287
" "," ","Ikast-Brande",40116,40358,40417,40657,40606,40505,40763,40893,41080,41387,41458,41664,41395,41832,42516,42673,42954,43237
" "," ","Lemvig",22020,21888,21737,21561,21310,21070,20838,20599,20385,20303,20131,19938,19662,19519,19507,19298,18986,18686
" "," ","Ringk�bing-Skjern",58648,58760,58356,58181,57871,57431,57215,57174,57060,57176,57099,56883,56366,56239,56534,56328,56019,55557
" "," ","Skive",48420,48341,48122,47948,47598,47256,46949,46715,46715,46663,46413,46151,45728,45226,45352,44927,44589,44236
" "," ","Struer",22729,22593,22389,22235,22082,21742,21594,21422,21494,21338,21306,21124,20951,20829,20943,20668,20409,20171
" "," ","Viborg",92433,93173,93594,93745,94100,94596,94788,95567,96166,96884,97061,97245,96706,96696,97455,97564,97659,97867
" "," ","Br�nderslev",35646,35769,35806,35828,35722,35637,35694,35968,36115,36210,36357,36435,36295,36169,36529,36598,36602,36564
" "," ","Frederikshavn",62654,62391,61868,61556,61078,60692,60538,60376,60478,60311,60197,59906,59353,59023,59068,58746,58312,57653
" "," ","Hj�rring",67250,67069,66720,66487,66056,65637,65564,65447,65367,65412,65058,64659,64450,64017,64032,63915,63570,63325
" "," ","Jammerbugt",39088,38969,38873,38732,38690,38462,38423,38513,38621,38669,38591,38440,38357,38200,38423,38330,38170,37990
" "," ","L�s�",2002,1990,1975,1947,1883,1864,1807,1808,1825,1804,1809,1812,1776,1785,1790,1779,1751,1704
" "," ","Mariagerfjord",42683,42741,42544,42569,42327,42081,42095,42200,42132,42092,42177,41951,41687,41572,41880,41877,41844,41689
" "," ","Mors�",22161,22038,21789,21570,21327,21129,20941,20774,20707,20600,20503,20366,20214,20082,20119,19837,19611,19398
" "," ","Rebild",28890,28892,28901,29005,28963,28883,28925,29057,29290,29612,29935,30073,30359,30558,30948,30934,30962,31160
" "," ","Thisted",45676,45459,45323,45112,44770,44486,44249,44110,44011,43887,43758,43553,43383,43142,43415,43328,42910,42659
" "," ","Vesthimmerlands",38504,38327,38107,37748,37632,37620,37474,37433,37282,37330,37232,37026,36647,36379,36436,36267,35864,35740
" "," ","Aalborg",195048,196096,197516,199270,200884,203373,205630,207785,210276,211684,213271,215510,217316,219476,221683,222405,223041,224491

