"region","utländsk/svensk bakgrund","ålder","år","Antal personer"
"0580 Linköping","utländsk bakgrund","18-67","2021",28241
"0580 Linköping","utländsk bakgrund","18-67","2024",29899
"0580 Linköping","svensk bakgrund","18-67","2021",78639
"0580 Linköping","svensk bakgrund","18-67","2024",79279
"0581 Norrköping","utländsk bakgrund","18-67","2021",27989
"0581 Norrköping","utländsk bakgrund","18-67","2024",29459
"0581 Norrköping","svensk bakgrund","18-67","2021",61657
"0581 Norrköping","svensk bakgrund","18-67","2024",60863
"0582 Söderköping","utländsk bakgrund","18-67","2021",880
"0582 Söderköping","utländsk bakgrund","18-67","2024",880
"0582 Söderköping","svensk bakgrund","18-67","2021",7430
"0582 Söderköping","svensk bakgrund","18-67","2024",7363
"0583 Motala","utländsk bakgrund","18-67","2021",5670
"0583 Motala","utländsk bakgrund","18-67","2024",5706
"0583 Motala","svensk bakgrund","18-67","2021",20196
"0583 Motala","svensk bakgrund","18-67","2024",19763
"0584 Vadstena","utländsk bakgrund","18-67","2021",533
"0584 Vadstena","utländsk bakgrund","18-67","2024",552
"0584 Vadstena","svensk bakgrund","18-67","2021",3607
"0584 Vadstena","svensk bakgrund","18-67","2024",3502
"0586 Mjölby","utländsk bakgrund","18-67","2021",2996
"0586 Mjölby","utländsk bakgrund","18-67","2024",3374
"0586 Mjölby","svensk bakgrund","18-67","2021",13953
"0586 Mjölby","svensk bakgrund","18-67","2024",13851
"0604 Aneby","utländsk bakgrund","18-67","2021",749
"0604 Aneby","utländsk bakgrund","18-67","2024",724
"0604 Aneby","svensk bakgrund","18-67","2021",3350
"0604 Aneby","svensk bakgrund","18-67","2024",3195
"0617 Gnosjö","utländsk bakgrund","18-67","2021",2234
"0617 Gnosjö","utländsk bakgrund","18-67","2024",2144
"0617 Gnosjö","svensk bakgrund","18-67","2021",3521
"0617 Gnosjö","svensk bakgrund","18-67","2024",3326
"0642 Mullsjö","utländsk bakgrund","18-67","2021",735
"0642 Mullsjö","utländsk bakgrund","18-67","2024",769
"0642 Mullsjö","svensk bakgrund","18-67","2021",3513
"0642 Mullsjö","svensk bakgrund","18-67","2024",3528
"0643 Habo","utländsk bakgrund","18-67","2021",894
"0643 Habo","utländsk bakgrund","18-67","2024",991
"0643 Habo","svensk bakgrund","18-67","2021",6332
"0643 Habo","svensk bakgrund","18-67","2024",6665
"0662 Gislaved","utländsk bakgrund","18-67","2021",6523
"0662 Gislaved","utländsk bakgrund","18-67","2024",6686
"0662 Gislaved","svensk bakgrund","18-67","2021",11294
"0662 Gislaved","svensk bakgrund","18-67","2024",10706
"0665 Vaggeryd","utländsk bakgrund","18-67","2021",2384
"0665 Vaggeryd","utländsk bakgrund","18-67","2024",2537
"0665 Vaggeryd","svensk bakgrund","18-67","2021",6412
"0665 Vaggeryd","svensk bakgrund","18-67","2024",6265
"0680 Jönköping","utländsk bakgrund","18-67","2021",26631
"0680 Jönköping","utländsk bakgrund","18-67","2024",29626
"0680 Jönköping","svensk bakgrund","18-67","2021",63358
"0680 Jönköping","svensk bakgrund","18-67","2024",63289
"0682 Nässjö","utländsk bakgrund","18-67","2021",5275
"0682 Nässjö","utländsk bakgrund","18-67","2024",5585
"0682 Nässjö","svensk bakgrund","18-67","2021",13540
"0682 Nässjö","svensk bakgrund","18-67","2024",13137
"0683 Värnamo","utländsk bakgrund","18-67","2021",6622
"0683 Värnamo","utländsk bakgrund","18-67","2024",6789
"0683 Värnamo","svensk bakgrund","18-67","2021",14368
"0683 Värnamo","svensk bakgrund","18-67","2024",13903
"0684 Sävsjö","utländsk bakgrund","18-67","2021",1817
"0684 Sävsjö","utländsk bakgrund","18-67","2024",1873
"0684 Sävsjö","svensk bakgrund","18-67","2021",4839
"0684 Sävsjö","svensk bakgrund","18-67","2024",4656
"0685 Vetlanda","utländsk bakgrund","18-67","2021",3586
"0685 Vetlanda","utländsk bakgrund","18-67","2024",3844
"0685 Vetlanda","svensk bakgrund","18-67","2021",12301
"0685 Vetlanda","svensk bakgrund","18-67","2024",11933
"0686 Eksjö","utländsk bakgrund","18-67","2021",2200
"0686 Eksjö","utländsk bakgrund","18-67","2024",2208
"0686 Eksjö","svensk bakgrund","18-67","2021",8157
"0686 Eksjö","svensk bakgrund","18-67","2024",7938
"0687 Tranås","utländsk bakgrund","18-67","2021",2467
"0687 Tranås","utländsk bakgrund","18-67","2024",2519
"0687 Tranås","svensk bakgrund","18-67","2021",8417
"0687 Tranås","svensk bakgrund","18-67","2024",8224
"0760 Uppvidinge","utländsk bakgrund","18-67","2021",1639
"0760 Uppvidinge","utländsk bakgrund","18-67","2024",1617
"0760 Uppvidinge","svensk bakgrund","18-67","2021",3867
"0760 Uppvidinge","svensk bakgrund","18-67","2024",3612
"0761 Lessebo","utländsk bakgrund","18-67","2021",1625
"0761 Lessebo","utländsk bakgrund","18-67","2024",1595
"0761 Lessebo","svensk bakgrund","18-67","2021",3160
"0761 Lessebo","svensk bakgrund","18-67","2024",3044
"0763 Tingsryd","utländsk bakgrund","18-67","2021",1612
"0763 Tingsryd","utländsk bakgrund","18-67","2024",1676
"0763 Tingsryd","svensk bakgrund","18-67","2021",5411
"0763 Tingsryd","svensk bakgrund","18-67","2024",5104
"0764 Alvesta","utländsk bakgrund","18-67","2021",3378
"0764 Alvesta","utländsk bakgrund","18-67","2024",3463
"0764 Alvesta","svensk bakgrund","18-67","2021",8236
"0764 Alvesta","svensk bakgrund","18-67","2024",7921
"0765 Älmhult","utländsk bakgrund","18-67","2021",3671
"0765 Älmhult","utländsk bakgrund","18-67","2024",3693
"0765 Älmhult","svensk bakgrund","18-67","2021",6963
"0765 Älmhult","svensk bakgrund","18-67","2024",6660
"0767 Markaryd","utländsk bakgrund","18-67","2021",2019
"0767 Markaryd","utländsk bakgrund","18-67","2024",1964
"0767 Markaryd","svensk bakgrund","18-67","2021",3925
"0767 Markaryd","svensk bakgrund","18-67","2024",3788
"0780 Växjö","utländsk bakgrund","18-67","2021",17502
"0780 Växjö","utländsk bakgrund","18-67","2024",18836
"0780 Växjö","svensk bakgrund","18-67","2021",42246
"0780 Växjö","svensk bakgrund","18-67","2024",42391
"0781 Ljungby","utländsk bakgrund","18-67","2021",4690
"0781 Ljungby","utländsk bakgrund","18-67","2024",4911
"0781 Ljungby","svensk bakgrund","18-67","2021",12170
"0781 Ljungby","svensk bakgrund","18-67","2024",11917
"0821 Högsby","utländsk bakgrund","18-67","2021",970
"0821 Högsby","utländsk bakgrund","18-67","2024",1010
"0821 Högsby","svensk bakgrund","18-67","2021",2240
"0821 Högsby","svensk bakgrund","18-67","2024",1985
"0834 Torsås","utländsk bakgrund","18-67","2021",596
"0834 Torsås","utländsk bakgrund","18-67","2024",603
"0834 Torsås","svensk bakgrund","18-67","2021",3424
"0834 Torsås","svensk bakgrund","18-67","2024",3322
"0840 Mörbylånga","utländsk bakgrund","18-67","2021",1077
"0840 Mörbylånga","utländsk bakgrund","18-67","2024",1129
"0840 Mörbylånga","svensk bakgrund","18-67","2021",7592
"0840 Mörbylånga","svensk bakgrund","18-67","2024",7707
"0860 Hultsfred","utländsk bakgrund","18-67","2021",2202
"0860 Hultsfred","utländsk bakgrund","18-67","2024",2244
"0860 Hultsfred","svensk bakgrund","18-67","2021",5805
"0860 Hultsfred","svensk bakgrund","18-67","2024",5425
"0861 Mönsterås","utländsk bakgrund","18-67","2021",1406
"0861 Mönsterås","utländsk bakgrund","18-67","2024",1425
"0861 Mönsterås","svensk bakgrund","18-67","2021",6237
"0861 Mönsterås","svensk bakgrund","18-67","2024",6035
"0862 Emmaboda","utländsk bakgrund","18-67","2021",1436
"0862 Emmaboda","utländsk bakgrund","18-67","2024",1449
"0862 Emmaboda","svensk bakgrund","18-67","2021",3929
"0862 Emmaboda","svensk bakgrund","18-67","2024",3710
"0880 Kalmar","utländsk bakgrund","18-67","2021",9603
"0880 Kalmar","utländsk bakgrund","18-67","2024",10555
"0880 Kalmar","svensk bakgrund","18-67","2021",34855
"0880 Kalmar","svensk bakgrund","18-67","2024",34458
"0881 Nybro","utländsk bakgrund","18-67","2021",3012
"0881 Nybro","utländsk bakgrund","18-67","2024",3161
"0881 Nybro","svensk bakgrund","18-67","2021",8740
"0881 Nybro","svensk bakgrund","18-67","2024",8395
"0882 Oskarshamn","utländsk bakgrund","18-67","2021",3493
"0882 Oskarshamn","utländsk bakgrund","18-67","2024",3620
"0882 Oskarshamn","svensk bakgrund","18-67","2021",12432
"0882 Oskarshamn","svensk bakgrund","18-67","2024",12096
"0883 Västervik","utländsk bakgrund","18-67","2021",3458
"0883 Västervik","utländsk bakgrund","18-67","2024",3602
"0883 Västervik","svensk bakgrund","18-67","2021",17310
"0883 Västervik","svensk bakgrund","18-67","2024",16560
"0884 Vimmerby","utländsk bakgrund","18-67","2021",1636
"0884 Vimmerby","utländsk bakgrund","18-67","2024",1688
"0884 Vimmerby","svensk bakgrund","18-67","2021",7421
"0884 Vimmerby","svensk bakgrund","18-67","2024",7207
"0885 Borgholm","utländsk bakgrund","18-67","2021",831
"0885 Borgholm","utländsk bakgrund","18-67","2024",814
"0885 Borgholm","svensk bakgrund","18-67","2021",4969
"0885 Borgholm","svensk bakgrund","18-67","2024",4694
"0980 Gotland","utländsk bakgrund","18-67","2021",4273
"0980 Gotland","utländsk bakgrund","18-67","2024",4636
"0980 Gotland","svensk bakgrund","18-67","2021",31929
"0980 Gotland","svensk bakgrund","18-67","2024",30897
"1060 Olofström","utländsk bakgrund","18-67","2021",2617
"1060 Olofström","utländsk bakgrund","18-67","2024",2653
"1060 Olofström","svensk bakgrund","18-67","2021",5150
"1060 Olofström","svensk bakgrund","18-67","2024",5009
"1080 Karlskrona","utländsk bakgrund","18-67","2021",7836
"1080 Karlskrona","utländsk bakgrund","18-67","2024",7801
"1080 Karlskrona","svensk bakgrund","18-67","2021",32545
"1080 Karlskrona","svensk bakgrund","18-67","2024",32536
"1081 Ronneby","utländsk bakgrund","18-67","2021",3853
"1081 Ronneby","utländsk bakgrund","18-67","2024",3963
"1081 Ronneby","svensk bakgrund","18-67","2021",12744
"1081 Ronneby","svensk bakgrund","18-67","2024",12488
"1082 Karlshamn","utländsk bakgrund","18-67","2021",3864
"1082 Karlshamn","utländsk bakgrund","18-67","2024",3878
"1082 Karlshamn","svensk bakgrund","18-67","2021",15146
"1082 Karlshamn","svensk bakgrund","18-67","2024",14680
"1083 Sölvesborg","utländsk bakgrund","18-67","2021",1797
"1083 Sölvesborg","utländsk bakgrund","18-67","2024",1803
"1083 Sölvesborg","svensk bakgrund","18-67","2021",8502
"1083 Sölvesborg","svensk bakgrund","18-67","2024",8381
"1214 Svalöv","utländsk bakgrund","18-67","2021",2282
"1214 Svalöv","utländsk bakgrund","18-67","2024",2447
"1214 Svalöv","svensk bakgrund","18-67","2021",6576
"1214 Svalöv","svensk bakgrund","18-67","2024",6527
"1230 Staffanstorp","utländsk bakgrund","18-67","2021",3684
"1230 Staffanstorp","utländsk bakgrund","18-67","2024",4297
"1230 Staffanstorp","svensk bakgrund","18-67","2021",11424
"1230 Staffanstorp","svensk bakgrund","18-67","2024",11709
"1231 Burlöv","utländsk bakgrund","18-67","2021",6404
"1231 Burlöv","utländsk bakgrund","18-67","2024",6891
"1231 Burlöv","svensk bakgrund","18-67","2021",5784
"1231 Burlöv","svensk bakgrund","18-67","2024",5554
"1233 Vellinge","utländsk bakgrund","18-67","2021",3039
"1233 Vellinge","utländsk bakgrund","18-67","2024",3282
"1233 Vellinge","svensk bakgrund","18-67","2021",18106
"1233 Vellinge","svensk bakgrund","18-67","2024",18134
"1256 Östra Göinge","utländsk bakgrund","18-67","2021",2122
"1256 Östra Göinge","utländsk bakgrund","18-67","2024",1901
"1256 Östra Göinge","svensk bakgrund","18-67","2021",6485
"1256 Östra Göinge","svensk bakgrund","18-67","2024",6234
"1257 Örkelljunga","utländsk bakgrund","18-67","2021",1601
"1257 Örkelljunga","utländsk bakgrund","18-67","2024",1555
"1257 Örkelljunga","svensk bakgrund","18-67","2021",4653
"1257 Örkelljunga","svensk bakgrund","18-67","2024",4569
"1260 Bjuv","utländsk bakgrund","18-67","2021",3625
"1260 Bjuv","utländsk bakgrund","18-67","2024",3910
"1260 Bjuv","svensk bakgrund","18-67","2021",6033
"1260 Bjuv","svensk bakgrund","18-67","2024",5980
"1261 Kävlinge","utländsk bakgrund","18-67","2021",3089
"1261 Kävlinge","utländsk bakgrund","18-67","2024",3419
"1261 Kävlinge","svensk bakgrund","18-67","2021",15824
